"Data generated on Wednesday, May 20, 2026 at 6:15:44 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Quantities
,,,,,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
,Partner,,HS Code,Product,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","Mexico","55","0702004010","GRHS TM7/15-8/31","MT","15,700.5","18,035.9","24,680.2","28,831.9","30,200.8","37,057.6","38,604.5","44,838.4","54,914.2","59,269.2","71,341.4","59,967.4","77,645.1","0.0","0.0","","US","MX","0702004010",
"1","Mexico","56","0702004015","GRHS TM ROMA 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41,389.9","0.0","","US","MX","0702004015",
"1","Mexico","57","0702004025","GRHS TM ROUND 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22,194.7","0.0","","US","MX","0702004025",
"1","Mexico","58","0702004031","GRHS TM NS 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29,404.1","0.0","","US","MX","0702004031",
"1","Mexico","59","0702004035","CHRY TM7/15-8/31","MT","2,689.8","2,221.5","1,448.2","2,075.8","1,572.8","1,561.5","807.3","1,423.0","1,652.9","1,344.9","1,288.7","2,063.5","1,757.7","2,048.8","0.0","","US","MX","0702004035",
"1","Mexico","60","0702004046","GRP TM 7/15-8/31","MT","3,388.2","3,054.8","4,200.9","6,142.2","5,796.7","6,076.5","6,053.5","7,030.8","7,983.2","8,642.4","9,456.4","9,063.1","10,022.1","10,879.9","0.0","","US","MX","0702004046",
"1","Mexico","61","0702004065","ROMATM 7/15-8/31","MT","36,855.8","30,460.0","55,402.7","60,153.3","59,154.6","69,992.6","47,901.7","57,157.9","58,130.0","52,842.4","61,446.4","71,347.5","80,232.8","73,886.3","0.0","","US","MX","0702004065",
"1","Mexico","62","0702004080","TM ROUND NS 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,188.9","0.0","","US","MX","0702004080",
"1","Mexico","63","0702004091","TM NS 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,675.5","0.0","","US","MX","0702004091",
"1","Mexico","64","0702004098","TM, NS 7/15-8/31","MT","5,333.6","8,029.6","14,387.6","12,886.4","20,168.2","10,694.9","9,873.5","13,370.0","14,077.7","12,918.0","16,758.3","11,390.8","10,520.4","0.0","0.0","","US","MX","0702004098",
"1","Mexico","65","0702006010","GRENHOUS TOM 11/","MT","113,573.9","126,410.1","151,951.6","207,689.3","222,910.0","221,758.0","264,073.2","276,429.8","265,292.9","300,136.7","298,499.5","302,537.1","304,332.7","189,611.1","0.0","","US","MX","0702006010",
"1","Mexico","66","0702006099","TM NS 11/15-2/28","MT","79,712.2","91,062.1","97,278.1","83,994.4","65,818.4","52,391.6","44,757.3","41,057.5","51,630.8","50,062.5","46,824.2","31,038.5","22,847.6","16,730.7","0.0","","US","MX","0702006099",
"","Grand Total","","","","MT","987,685.0","1,046,868.3","1,380,111.2","1,327,308.9","1,379,518.6","1,381,305.5","1,397,284.3","1,427,924.5","1,619,729.1","1,612,337.6","1,691,118.4","1,660,961.2","1,668,564.2","1,753,988.2","1,806,167.5","3",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : BICO-HS10"
