"week_start_date","avg_tmax","n_days"
2010-01-29,60.7142857142857,7
2010-02-05,58.8571428571429,7
2010-02-12,70.2857142857143,7
2010-02-19,60.2857142857143,7
2010-02-26,65.1428571428571,7
2010-03-05,61,7
2010-03-12,72.4285714285714,7
2010-03-19,72.2857142857143,7
2010-03-26,73.8571428571429,7
2010-04-02,75.5714285714286,7
2010-04-09,80,7
2010-04-16,77.2857142857143,7
2010-04-23,76.2857142857143,7
2010-04-30,77.7142857142857,7
2010-05-07,83.7142857142857,7
2010-05-14,85.4285714285714,7
2010-05-21,86.7142857142857,7
2010-05-28,90.7142857142857,7
2010-06-04,98.1428571428571,7
2010-06-11,90.5714285714286,7
2010-06-18,99.5714285714286,7
2010-06-25,100.285714285714,7
2010-07-02,97.2857142857143,7
2010-07-09,96,7
2010-07-16,94.1428571428571,7
2010-07-23,89,7
2010-07-30,90.7142857142857,7
2010-08-06,93.1428571428571,7
2010-08-13,95.5714285714286,7
2010-08-20,92.8571428571429,7
2010-08-27,89.4285714285714,7
2010-09-03,90.5714285714286,7
2010-09-10,93.4285714285714,7
2010-09-17,90.7142857142857,7
2010-09-24,92.7142857142857,7
2010-10-01,87.8571428571429,7
2010-10-08,85.8571428571429,7
2010-10-15,76,7
2010-10-22,76.8571428571429,7
2010-10-29,83,7
2010-11-05,74.4285714285714,7
2010-11-12,71.5714285714286,7
2010-11-19,65.4285714285714,7
2010-11-26,65.2857142857143,7
2010-12-03,76.5714285714286,7
2010-12-10,75.2857142857143,7
2010-12-17,68,7
2010-12-24,60.7142857142857,7
2010-12-31,57.2857142857143,7
2011-01-07,65.5714285714286,7
2011-01-14,73,7
2011-01-21,67.2857142857143,7
2011-01-28,54.5714285714286,7
2011-02-04,64.7142857142857,7
2011-02-11,75.7142857142857,7
2011-02-18,65.5714285714286,7
2011-02-25,69.2857142857143,7
2011-03-04,75.4285714285714,7
2011-03-11,82.5714285714286,7
2011-03-18,75.4285714285714,7
2011-03-25,78.5714285714286,7
2011-04-01,83.8571428571429,7
2011-04-08,72.4285714285714,7
2011-04-15,87,7
2011-04-22,84.4285714285714,7
2011-04-29,82.7142857142857,7
2011-05-06,84.4285714285714,7
2011-05-13,82.4285714285714,7
2011-05-20,88.1428571428571,7
